Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
TierPoint Omaha-Midlands,nebraska,41.1346075,-96.0391842,15.0,1.68,https://www.tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/cosentry-midlands/,Midsize/Colo,P2,118260.0
Scott Data Center,nebraska,41.2430455,-96.0180112,1.0,1.91,https://www.scottdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/scott-data-center/,Small,P4,7884.0
TierPoint Omaha-Bellevue,nebraska,41.1772007,-95.9246008,15.0,1.68,https://www.tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/cosentry/,Midsize/Colo,P2,118260.0
Cogent Data Center - Omaha,nebraska,41.2519874,-95.9258717,2.5,1.91,https://www.cogentco.com/en/network/cogent-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/cogent-data-center-omaha/,Small,P1,19710.0
1623 Farnam,nebraska,41.2572938,-95.9381868,7.5,1.91,http://www.1623farnam.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/1623-farnam/,Small,P1,59130.0
LightEdge - Omaha,nebraska,41.1598065,-96.0256565,1.25,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/lightedge-omaha/,Small,P1,9855.0
H5 Data Centers Omaha,nebraska,41.180701,-96.084974,17.3,1.68,https://h5datacenters.com/omaha-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/h5-data-centers-omaha/,Midsize/Colo,P1,136393.2
IP Pathways Omaha,nebraska,41.1977228,-96.0943951,1.0,1.91,https://www.ippathways.com/data-center-and-colocation-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/ip-pathways-omaha/,Small,P4,7884.0
LoCoCoLo,nebraska,41.2480242,-96.0282367,1.0,1.91,https://p3-inc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/lococolo/,Small,P4,7884.0
Google Omaha Campus,nebraska,41.34233622905654,-96.09090631413623,50.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/google-omaha-campus/,Hyperscale,P2,394200.0
Lumen Bellevue,nebraska,41.1857052,-95.9360898,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/lumen-bellevue/,Midsize/Colo,P2,118260.0
FNTS Data Center,nebraska,41.2612401,-95.9364614,50.0,1.22,https://www.fnts.com/cloud/fnts-cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/first-national-technology-solutions/,Hyperscale,P3,394200.0
Google Omaha - Building 4,nebraska,41.34536978066207,-96.09357974997117,50.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/google-omaha-building-4/,Hyperscale,P2,394200.0
Google Omaha - Building 1,nebraska,41.33901293222479,-96.08472927556544,50.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/google-omaha-building-1/,Hyperscale,P2,394200.0
Google Omaha - Building 3,nebraska,41.34147698376748,-96.09270793511922,50.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/google-omaha-building-3/,Hyperscale,P2,394200.0
Google Omaha - Building 2,nebraska,41.34184432208484,-96.08766240983856,50.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/google-omaha-building-2/,Hyperscale,P2,394200.0
Windstream Omaha,nebraska,41.2549366,-95.93942159999999,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/windstream-omaha/,Small,P4,7884.0
Lumen Omaha 1,nebraska,41.2429351,-96.0164662,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/omaha/lumen-omaha-1/,Midsize/Colo,P2,118260.0
Google Papillion - Building 4,nebraska,41.13788420354976,-96.1514510730161,50.0,1.22,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/papillion/google-papillion-building-4/,Hyperscale,P2,394200.0
Google Papillion Campus,nebraska,41.1361375,-96.1477899,50.0,1.12,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/papillion/google-papillion/,Hyperscale,P2,394200.0
Google Papillion - Building 3,nebraska,41.13436909071282,-96.15591087448831,50.0,1.22,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/papillion/google-papillion-building-3/,Hyperscale,P2,394200.0
Google Papillion - Building 2,nebraska,41.13496202241001,-96.14674473785085,50.0,1.22,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/papillion/google-papillion-building-2/,Hyperscale,P2,394200.0
Google Papillion - Building 1,nebraska,41.1348018,-96.1440518,50.0,1.22,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/papillion/google-papillion-building-1/,Hyperscale,P2,394200.0
Meta Sarpy Campus,nebraska,41.1220776,-96.1394112,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nebraska/papillion/meta-sarpy-data-center/,Hyperscale,P2,394200.0
